date,time,matches_train,matches_test,matches_total,logistic_regression_accuracy,logistic_regression_roc_auc,logistic_regression_log_loss,lightgbm_accuracy,lightgbm_roc_auc,lightgbm_log_loss,catboost_accuracy,catboost_roc_auc,catboost_log_loss,ensemble_accuracy,ensemble_roc_auc,ensemble_log_loss
2026-03-24,11:42:11,1000,250,1250,0.552,0.5441,2.0722,0.664,0.7456,0.5994,,,,,,
2026-03-25,12:07:22,2968,743,3711,0.6312,0.6751,0.6907,0.611,0.6824,0.6363,,,,,,
2026-03-25,13:16:09,2968,743,3711,0.6285,0.6795,0.6869,0.642,0.6923,0.6314,0.6433,0.6881,0.888,,,
2026-03-25,13:22:10,2968,743,3711,0.6285,0.6795,0.6869,0.642,0.6923,0.6314,0.6514,0.706,0.6242,0.6151,0.679,0.8626
2026-03-25,13:24:33,2968,743,3711,0.6285,0.6795,0.6869,0.642,0.6923,0.6314,0.6514,0.706,0.6242,0.6151,0.679,0.8626
2026-03-25,16:12:29,2968,743,3711,0.6285,0.6795,0.6869,0.642,0.6923,0.6314,0.6514,0.706,0.6242,0.6151,0.679,0.8626
2026-03-25,16:15:16,2968,743,3711,0.6285,0.6795,0.6869,0.642,0.6923,0.6314,0.6514,0.706,0.6242,0.6487,0.7112,0.6341
2026-03-25,16:34:26,2968,743,3711,0.6231,0.679,0.6875,0.642,0.7081,0.6214,0.681,0.7225,0.6114,0.6608,0.7187,0.6256
2026-03-25,16:39:09,2968,743,3711,0.6231,0.679,0.6875,0.642,0.7081,0.6214,0.681,0.7225,0.6114,0.6608,0.7187,0.6256
2026-03-25,16:42:13,2968,743,3711,0.6231,0.679,0.6875,0.642,0.7081,0.6214,0.681,0.7225,0.6114,0.6608,0.7187,0.6256
